93.115.240.120,8443,AM,
93.115.240.29,2053,AM,GCore Labs Customer assignment
93.115.240.29,2083,AM,GCore Labs Customer assignment
131.255.6.88,443,AR,
38.244.199.103,2053,AR,3NT SOLUTIONS LLP
38.244.199.103,8443,AR,3NT SOLUTIONS LLP
38.54.45.184,443,AR,
104.143.0.180,443,AT,
104.143.0.184,443,AT,
104.143.0.61,8443,AT,
104.143.0.99,8443,AT,
130.195.222.215,443,AT,
132.243.203.112,8443,AT,
132.243.203.120,8443,AT,
132.243.203.202,8443,AT,
132.243.203.203,8443,AT,
132.243.203.204,8443,AT,
132.243.203.205,8443,AT,
132.243.203.206,8443,AT,
132.243.203.207,8443,AT,
132.243.203.208,8443,AT,
132.243.203.209,8443,AT,
132.243.203.210,8443,AT,
132.243.203.211,8443,AT,
132.243.203.212,8443,AT,
132.243.203.213,8443,AT,
132.243.203.214,8443,AT,
132.243.203.215,8443,AT,
132.243.203.216,8443,AT,
132.243.203.217,8443,AT,
132.243.203.218,8443,AT,
132.243.203.219,8443,AT,
132.243.203.220,8443,AT,
132.243.203.221,8443,AT,
132.243.203.222,8443,AT,
132.243.203.223,8443,AT,
132.243.203.224,8443,AT,
132.243.203.225,8443,AT,
132.243.203.226,8443,AT,
132.243.203.227,8443,AT,
132.243.203.228,8443,AT,
132.243.203.229,8443,AT,
132.243.203.230,8443,AT,
132.243.203.231,8443,AT,
132.243.203.232,8443,AT,
132.243.203.233,8443,AT,
132.243.203.234,8443,AT,
132.243.203.235,8443,AT,
132.243.203.236,8443,AT,
132.243.203.237,8443,AT,
132.243.203.238,8443,AT,
132.243.203.239,8443,AT,
132.243.203.240,8443,AT,
132.243.203.241,8443,AT,
132.243.203.242,8443,AT,
132.243.203.243,8443,AT,
132.243.203.244,8443,AT,
132.243.203.245,8443,AT,
132.243.203.246,8443,AT,
132.243.203.247,8443,AT,
132.243.203.248,8443,AT,
132.243.203.249,8443,AT,
132.243.203.35,8443,AT,
132.243.203.9,8443,AT,
132.243.245.123,443,AT,
132.243.245.13,443,AT,
132.243.245.135,443,AT,
132.243.245.141,443,AT,
132.243.245.147,443,AT,
132.243.245.154,443,AT,
132.243.245.160,443,AT,
132.243.245.166,443,AT,
132.243.245.178,443,AT,
132.243.245.184,443,AT,
132.243.245.19,443,AT,
132.243.245.190,443,AT,
132.243.245.196,443,AT,
132.243.245.215,443,AT,
132.243.245.221,443,AT,
132.243.245.227,443,AT,
132.243.245.233,443,AT,
132.243.245.239,443,AT,
132.243.245.245,443,AT,
132.243.245.25,443,AT,
132.243.245.31,443,AT,
132.243.245.43,443,AT,
132.243.245.49,443,AT,
132.243.245.56,443,AT,
132.243.245.62,443,AT,
132.243.245.68,443,AT,
132.243.245.7,443,AT,
132.243.245.74,443,AT,
132.243.245.80,443,AT,
132.243.245.92,443,AT,
132.243.245.98,443,AT,
138.124.90.217,443,AT,
138.124.90.246,8443,AT,Aeza International LTD
141.227.165.228,2053,AT,
147.45.41.104,8443,AT,Aeza International LTD
147.45.41.182,443,AT,Aeza International LTD
147.45.41.192,443,AT,Aeza International LTD
147.45.41.2,443,AT,Aeza International LTD
147.45.41.202,443,AT,Aeza International LTD
147.45.71.111,443,AT,Aeza International LTD
147.45.71.3,443,AT,Aeza International LTD
149.154.153.55,8443,AT,EDIS Infrastructure in Austria
151.236.8.190,443,AT,EDIS IPv6 Infrastructure in Austria
151.236.8.98,443,AT,
152.53.100.114,443,AT,
152.53.100.128,443,AT,
152.53.100.13,443,AT,
152.53.100.148,443,AT,
152.53.100.177,443,AT,
152.53.100.232,443,AT,
152.53.100.49,443,AT,
152.53.100.85,443,AT,
152.53.101.146,443,AT,
152.53.101.5,443,AT,
152.53.102.141,443,AT,
152.53.102.19,443,AT,
152.53.102.234,443,AT,
152.53.103.121,443,AT,
152.53.103.20,443,AT,
152.53.104.139,8081,AT,netcup GmbH
152.53.106.209,8081,AT,netcup GmbH
152.53.107.138,8443,AT,netcup GmbH
152.53.110.2,443,AT,
152.53.110.45,443,AT,
152.53.111.168,443,AT,
152.53.111.169,443,AT,
152.53.111.219,443,AT,
152.53.112.170,2053,AT,
152.53.112.170,443,AT,
152.53.19.28,8443,AT,
152.53.19.28,443,AT,
152.53.2.213,443,AT,
152.53.2.213,8443,AT,
152.53.3.249,2096,AT,
152.53.3.38,443,AT,
152.53.35.4,443,AT,
152.53.45.7,443,AT,
152.53.47.130,443,AT,
152.53.65.148,443,AT,
152.53.66.218,443,AT,
152.53.67.190,443,AT,
152.53.67.83,443,AT,
157.173.29.46,443,AT,
159.195.110.37,443,AT,
159.195.112.41,443,AT,
159.195.112.45,443,AT,
159.195.113.79,8443,AT,
159.195.113.91,443,AT,
159.195.115.30,443,AT,
159.195.141.48,443,AT,
159.195.141.48,8443,AT,
159.195.141.56,8443,AT,
185.104.63.201,443,AT,ZetServers Vienna
185.104.63.202,443,AT,ZetServers Vienna
185.104.63.203,443,AT,ZetServers Vienna
185.106.94.104,443,AT,Aeza International LTD
185.106.94.110,443,AT,Aeza International LTD
185.106.94.115,443,AT,Aeza International LTD
185.106.94.120,443,AT,Aeza International LTD
185.106.94.159,443,AT,Aeza International LTD
185.106.94.200,443,AT,Aeza International LTD
185.106.94.251,443,AT,Aeza International LTD
185.106.94.49,443,AT,Aeza International LTD
185.106.94.58,443,AT,Aeza International LTD
185.106.94.70,443,AT,Aeza International LTD
185.106.94.73,443,AT,Aeza International LTD
185.119.117.146,8443,AT,IPAX VIRTUAL line server
185.175.58.196,443,AT,
185.75.241.170,443,AT,
188.172.229.141,2053,AT,powered by ANX
188.172.229.247,443,AT,
193.219.97.146,2053,AT,Alwyzon a trading name of Hohl IT eU
193.219.97.146,8443,AT,Alwyzon a trading name of Hohl IT eU
193.219.97.186,2053,AT,Alwyzon a trading name of Hohl IT eU
193.219.97.198,443,AT,
193.219.97.198,8443,AT,
193.219.97.235,2053,AT,Alwyzon a trading name of Hohl IT eU
193.219.97.235,8443,AT,Alwyzon a trading name of Hohl IT eU
193.233.232.102,443,AT,Aeza International LTD
193.233.232.49,2087,AT,
194.58.66.139,443,AT,
2.59.22.112,443,AT,BlackHOST
203.98.67.146,443,AT,
203.98.67.48,8443,AT,
203.98.67.74,2053,AT,Alwyzon a trading name of Hohl IT eU
203.98.67.74,8443,AT,Alwyzon a trading name of Hohl IT eU
205.147.200.38,443,AT,
205.147.201.53,8443,AT,
212.113.106.125,8443,AT,Aeza International LTD
212.113.106.13,443,AT,Aeza International LTD
212.113.106.146,443,AT,Aeza International LTD
212.113.106.233,443,AT,Aeza International LTD
212.113.119.58,443,AT,Aeza International LTD
213.176.94.146,443,AT,Aeza International LTD
213.176.94.172,443,AT,Aeza International LTD
213.176.94.36,443,AT,Aeza International LTD
37.235.56.86,443,AT,
37.252.189.207,443,AT,
38.180.143.51,2053,AT,3NT SOLUTIONS LLP
38.180.143.51,8443,AT,3NT SOLUTIONS LLP
38.180.59.113,443,AT,3NT SOLUTIONS LLP
45.134.14.108,443,AT,Aeza International LTD
45.134.14.154,8443,AT,Aeza International LTD
45.134.14.168,443,AT,Aeza International LTD
45.134.14.40,443,AT,Aeza International LTD
45.134.14.69,443,AT,Aeza International LTD
45.138.74.117,443,AT,Aeza International LTD
45.138.74.122,443,AT,Aeza International LTD
45.138.74.135,443,AT,Aeza International LTD
45.138.74.229,443,AT,Aeza International LTD
45.138.74.233,443,AT,Aeza International LTD
45.138.74.36,443,AT,Aeza International LTD
45.138.74.47,443,AT,Aeza International LTD
45.138.74.54,443,AT,Aeza International LTD
45.138.74.7,443,AT,Aeza International LTD
45.138.74.83,443,AT,Aeza International LTD
45.138.74.96,443,AT,Aeza International LTD
46.102.156.144,2053,AT,Alwyzon a trading name of Hohl IT eU
46.102.156.144,8443,AT,Alwyzon a trading name of Hohl IT eU
46.102.156.27,2053,AT,Alwyzon a trading name of Hohl IT eU
62.60.238.125,443,AT,Aeza International LTD
62.60.238.146,443,AT,Aeza International LTD
62.60.239.134,443,AT,Aeza International LTD
62.60.239.14,443,AT,Aeza International LTD
62.60.239.179,443,AT,Aeza International LTD
62.60.239.216,443,AT,Aeza International LTD
62.60.239.48,443,AT,Aeza International LTD
62.60.239.48,587,AT,Aeza International LTD
62.60.239.60,443,AT,Aeza International LTD
77.110.110.12,443,AT,Aeza International LTD
77.110.110.122,443,AT,Aeza International LTD
77.110.110.147,443,AT,Aeza International LTD
77.110.110.156,443,AT,Aeza International LTD
